package	covered	total
pkg.akt.dev/akt/cmd/akt	4	4
pkg.akt.dev/akt/internal/actionlog	109	114
pkg.akt.dev/akt/internal/bootstrap	399	422
pkg.akt.dev/akt/internal/capability	33	33
pkg.akt.dev/akt/internal/cli	563	618
pkg.akt.dev/akt/internal/cli/chain	4466	6263
pkg.akt.dev/akt/internal/cli/chain/flags	415	484
pkg.akt.dev/akt/internal/cli/console	611	757
pkg.akt.dev/akt/internal/cli/context	411	510
pkg.akt.dev/akt/internal/cli/keys	267	332
pkg.akt.dev/akt/internal/cli/network	70	86
pkg.akt.dev/akt/internal/cli/provider	348	468
pkg.akt.dev/akt/internal/cli/sdl	302	325
pkg.akt.dev/akt/internal/cli/store	241	274
pkg.akt.dev/akt/internal/cli/workflow	541	631
pkg.akt.dev/akt/internal/client	79	80
pkg.akt.dev/akt/internal/cliutil	83	106
pkg.akt.dev/akt/internal/codec	31	31
pkg.akt.dev/akt/internal/console	613	651
pkg.akt.dev/akt/internal/context	444	464
pkg.akt.dev/akt/internal/events	59	60
pkg.akt.dev/akt/internal/glyphs	18	18
pkg.akt.dev/akt/internal/keyring	209	217
pkg.akt.dev/akt/internal/mcp	167	172
pkg.akt.dev/akt/internal/mcp/marshal	82	86
pkg.akt.dev/akt/internal/mcp/tools/audit	20	23
pkg.akt.dev/akt/internal/mcp/tools/bank	14	17
pkg.akt.dev/akt/internal/mcp/tools/cert	11	12
pkg.akt.dev/akt/internal/mcp/tools/console	94	129
pkg.akt.dev/akt/internal/mcp/tools/deployment	48	58
pkg.akt.dev/akt/internal/mcp/tools/market	117	147
pkg.akt.dev/akt/internal/mcp/tools/node	12	12
pkg.akt.dev/akt/internal/mcp/tools/provider	145	145
pkg.akt.dev/akt/internal/monitor/cache	240	246
pkg.akt.dev/akt/internal/monitor/consensus	73	73
pkg.akt.dev/akt/internal/monitor/governance	4	4
pkg.akt.dev/akt/internal/monitor/rpc	885	916
pkg.akt.dev/akt/internal/monitor/runtime	67	67
pkg.akt.dev/akt/internal/monitor/ui	1315	1612
pkg.akt.dev/akt/internal/output	163	176
pkg.akt.dev/akt/internal/output/pretty	2281	2391
pkg.akt.dev/akt/internal/provider	510	521
pkg.akt.dev/akt/internal/store	21	21
pkg.akt.dev/akt/internal/store/bbolt	676	696
pkg.akt.dev/akt/internal/sync	278	299
pkg.akt.dev/akt/internal/transport	73	75
pkg.akt.dev/akt/internal/tui/components	366	386
pkg.akt.dev/akt/internal/ui/theme	7	7
pkg.akt.dev/akt/internal/workflow	199	202
pkg.akt.dev/akt/internal/workflow/adapters	393	446
pkg.akt.dev/akt/internal/workflow/builtin	11	14
pkg.akt.dev/akt/internal/workflow/steps	272	275
@total	18860	22176
