package	class	critical
pkg.akt.dev/akt/cmd/akt	active	false
pkg.akt.dev/akt/internal/actionlog	active	true
pkg.akt.dev/akt/internal/bootstrap	active	true
pkg.akt.dev/akt/internal/capability	active	true
pkg.akt.dev/akt/internal/cli	active	true
pkg.akt.dev/akt/internal/cli/chain	active	true
pkg.akt.dev/akt/internal/cli/chain/flags	active	true
pkg.akt.dev/akt/internal/cli/chain/testutil	support	false
pkg.akt.dev/akt/internal/cli/console	active	true
pkg.akt.dev/akt/internal/cli/context	active	true
pkg.akt.dev/akt/internal/cli/keys	active	true
pkg.akt.dev/akt/internal/cli/network	active	true
pkg.akt.dev/akt/internal/cli/provider	active	true
pkg.akt.dev/akt/internal/cli/sdl	active	false
pkg.akt.dev/akt/internal/cli/store	active	true
pkg.akt.dev/akt/internal/cli/workflow	active	true
pkg.akt.dev/akt/internal/client	active	true
pkg.akt.dev/akt/internal/cliutil	active	false
pkg.akt.dev/akt/internal/codec	active	true
pkg.akt.dev/akt/internal/console	active	true
pkg.akt.dev/akt/internal/context	active	true
pkg.akt.dev/akt/internal/events	active	true
pkg.akt.dev/akt/internal/flags	active	false
pkg.akt.dev/akt/internal/glyphs	active	false
pkg.akt.dev/akt/internal/keyring	active	true
pkg.akt.dev/akt/internal/mcp	active	true
pkg.akt.dev/akt/internal/mcp/marshal	active	true
pkg.akt.dev/akt/internal/mcp/tools/audit	active	false
pkg.akt.dev/akt/internal/mcp/tools/bank	active	false
pkg.akt.dev/akt/internal/mcp/tools/cert	active	false
pkg.akt.dev/akt/internal/mcp/tools/console	active	true
pkg.akt.dev/akt/internal/mcp/tools/deployment	active	true
pkg.akt.dev/akt/internal/mcp/tools/market	active	true
pkg.akt.dev/akt/internal/mcp/tools/node	active	false
pkg.akt.dev/akt/internal/mcp/tools/provider	active	true
pkg.akt.dev/akt/internal/monitor/cache	active	true
pkg.akt.dev/akt/internal/monitor/consensus	active	true
pkg.akt.dev/akt/internal/monitor/governance	active	false
pkg.akt.dev/akt/internal/monitor/rpc	active	true
pkg.akt.dev/akt/internal/monitor/runtime	active	true
pkg.akt.dev/akt/internal/monitor/ui	active	false
pkg.akt.dev/akt/internal/output	active	false
pkg.akt.dev/akt/internal/output/pretty	active	false
pkg.akt.dev/akt/internal/provider	active	true
pkg.akt.dev/akt/internal/store	active	true
pkg.akt.dev/akt/internal/store/bbolt	active	true
pkg.akt.dev/akt/internal/sync	active	true
pkg.akt.dev/akt/internal/transport	active	true
pkg.akt.dev/akt/internal/tui	experimental-tui	false
pkg.akt.dev/akt/internal/tui/commands	experimental-tui	false
pkg.akt.dev/akt/internal/tui/components	active	false
pkg.akt.dev/akt/internal/tui/data	experimental-tui	false
pkg.akt.dev/akt/internal/tui/keys	experimental-tui	false
pkg.akt.dev/akt/internal/tui/messages	experimental-tui	false
pkg.akt.dev/akt/internal/tui/views	experimental-tui	false
pkg.akt.dev/akt/internal/ui/theme	active	false
pkg.akt.dev/akt/internal/workflow	active	true
pkg.akt.dev/akt/internal/workflow/adapters	active	true
pkg.akt.dev/akt/internal/workflow/builtin	active	true
pkg.akt.dev/akt/internal/workflow/steps	active	true
pkg.akt.dev/akt/tools/coverage	tooling	false
